"image","subline","title","description","link"
"https://images-eu.nivea.com/-/media/global/neu-von-nivea/training-page-weronika/000055_gl_en_nbd_bodymilk_lpstage_teaser_still_202206_digital_2560x1000.jpg?rx=608&ry=0&rw=1801&rh=1000","","test-page-2+","","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/luminous630/000227_de_de_nfc_supernova_luminous630_opengraph_mobile_08_2021_digital_lp_790_930.jpg?rx=0&ry=1&rw=790&rh=926","Gesicht","Cellular Luminous630®","","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/concealer/001222deladenfccellularconcealercushionhpbnd220909digital2560x1000.jpg?rx=712&ry=0&rw=1801&rh=1000","","Deine neue Routine: NIVEA 3in1 Concealer & Cushion","","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/nivea-men-gratis-fussball/ngp_ball_header_3840x1500.jpg?rx=664&ry=0&rw=2702&rh=1500","Highlights","GRATIS* BIS 09.10.: NIVEA MEN FUSSBALL","Kaufe NIVEA Produkte für mindestens 12 € und sichere dir einen exklusiven NIVEA MEN Fußball.","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/q10-nacht-serum/000036dedenfcq10corebiorhythmpowerfirming092021digitallpnightopengraphdesktop18021000.jpg?rx=0&ry=0&rw=1801&rh=1000","Gesicht","Q10 Anti-Falten Power Multi Regenerierendes Nacht Serum","Entdecke das neue Q10 Anti-Falten Power Multi Regenerierende Nacht Serum mit 2-facher Q10 Konzentration","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/soft-summer-rain/update/000033_eu_de_la_ncr_soft_hpopengraphd_202208_digital_1802x1000.jpg?rx=0&ry=0&rw=1801&rh=1000","","NIVEA SOFT – SO FRISCH WIE EIN SOMMERREGEN","So frisch... So pflegend... So...","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/micellar-revamp/update/micellairlphomepagebanner2560x1000de-20220811-135328.jpg?rx=758&ry=0&rw=1801&rh=1000","","NIVEA Mizellenwasser 5in1 Sensitive - Gesichtsreinigung","Make-up, Schlamm, Schweiß, Tränen, Glitzer, Kuchen, Ton, Farbe, Staub, Sand, Schmutz … NIVEA Mizellenwasser, mit MicellAIR® Technologie, entfernt alle möglichen Dinge, damit du jedes Mal frisch starten kannst. Leb so wild und bunt wie du willst!","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/sun-touch-lotion/sun_touch_buehne_neu-17-03.png?rx=1137&ry=0&rw=2702&rh=1500","Körper","SANFTE BRÄUNE – OHNE STREIFEN","Nur von NIVEA: SUN TOUCH Body Lotion","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/nivea-app-2019/update-2022/nivea_app-cdp_keyvisual-desktop.jpg?rx=765&ry=0&rw=2702&rh=1500","Highlights","Hol dir die kostenlose NIVEA App!","Jetzt exklusive Prämien und Rabatte sichern: Sammle mit der NIVEA App bei jedem Einkauf Punkte und löse sie im Prämienshop ein.","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/gratis-badetuch2022/nivea_cam_dlrg2022_cdp_keyvisual-phase3_desktop.jpg?rx=399&ry=0&rw=2702&rh=1500","Highlights","Aktion leider beendet","Melde dich bei NIVEA FÜR MICH an, um zukünftige Aktion nicht zu verpassen.","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/stop-hautkrebs/update-13-07/sc_header_3840x1500_tausch.jpg?rx=147&ry=0&rw=3513&rh=1950","Highlights","Schütze dich und deine Liebsten","Die Initiative gegen Hautkrebs von NIVEA und Dermatologen will die Zahl der Hautkrebsfälle zu verringern","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/teasers/datenschutzerklaerung.jpg?rx=1238&ry=0&rw=1207&rh=670","","Datenschutzerklärung","NIVEA ist neben der Pflege Ihrer Haut auch der Schutz Ihrer Daten wichtig.","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/cellularexpertlift/update/header_3840_1500.jpg?rx=970&ry=0&rw=2702&rh=1499","Gesicht","CELLULAR Expert Lift","Die neue NIVEA CELLULAR Expert Lift Anti-Age Pflegeserie mit dem Wirkstoff-Superstar Bakuchiol.​","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/q10-body-lotion/stage/210407_q10_desktop_2560x1000px_de.jpg?rx=411&ry=0&rw=1801&rh=1000","Körper","Mach dich bereit für straffe & elastische Haut","Die NIVEA Body Milk und Lotion mit Q10 + Vitamin C straft und verbessert deine Haut spürbar in 10 Tagen.","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/maenner/nivea-men-sensitive/relaunch/nivea_cam_sonic-relaunch_stageteaserxl.jpg?rx=758&ry=0&rw=1801&rh=1000","Für den Mann","SENSATIONELL SENSITIVE","Sanfter Schutz und milde Pflege für empfindliche Haut","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/urlaubsgeld22/2022/cam_urlaubsgeld2022_post-phase_keyvisual-desktop.jpg?rx=553&ry=0&rw=2702&rh=1500","Highlights","NIVEA Urlaubsgeld","Aktion für dieses Jahr leider beendet","Weiterlesen"
"https://images-eu.nivea.com/-/media/local/de/neu-von-nivea/fueralleda/update-juni-2021/cam_fueralleda_keyvisual-desktop.jpg?rx=768&ry=0&rw=2366&rh=1313","Highlights","NIVEA IST FÜR ALLE DA","Wir setzen ein Zeichen für mehr Toleranz. Denn mehr Toleranz bedeutet mehr Miteinander.","Weiterlesen"
